time_s,roll_deg,pitch_deg,yaw_deg,ref_pitch_deg,ref_yaw_deg,M1,M2,error_pitch_deg,error_yaw_deg
5.262,-1.152,12.952,0.991,25.0,0.02,1818.5,2088.33,0.545,0.455,12.05,-0.97
5.332,-0.862,12.698,0.991,25.0,0.02,1561.62,2207.9,0.61,0.39,12.3,-0.97
5.401,-1.05,14.069,0.99,25.0,0.02,1909.7,1859.82,0.453,0.547,10.93,-0.97
5.471,-1.804,13.707,0.991,25.0,0.02,1561.85,2207.67,0.612,0.388,11.29,-0.97
5.541,-2.198,12.833,0.989,25.0,0.02,1343.28,2304.65,0.664,0.336,12.17,-0.97
5.611,-1.631,12.804,0.989,25.0,0.02,1646.36,2169.19,0.588,0.412,12.2,-0.97
5.681,-1.983,13.056,1.56,25.0,0.03,1753.75,2119.11,0.561,0.439,11.94,-1.53
5.752,-2.598,13.506,1.777,25.0,0.03,1835.35,2080.25,0.541,0.459,11.49,-1.75
5.822,-1.688,13.379,1.857,25.0,0.03,1627.19,2178.0,0.593,0.407,11.62,-1.82
5.892,-1.301,13.593,1.887,25.0,0.03,1755.24,2118.4,0.561,0.439,11.41,-1.85
5.963,-2.286,13.589,1.897,25.0,0.03,1676.89,2155.06,0.581,0.419,11.41,-1.86
6.033,-1.869,13.281,1.9,25.0,0.03,1560.12,2208.58,0.61,0.39,11.72,-1.87
6.104,-1.688,13.352,1.899,25.0,0.03,1696.97,2145.73,0.576,0.424,11.65,-1.87
6.175,-1.107,12.954,1.899,25.0,0.03,1519.26,2227.0,0.62,0.38,12.05,-1.87
6.246,-0.012,13.668,1.897,25.0,0.03,1874.49,2032.83,0.517,0.483,11.33,-1.86
6.317,-0.567,13.965,1.895,25.0,0.03,1793.63,2100.21,0.552,0.448,11.04,-1.86
6.388,-1.196,13.648,1.894,25.0,0.03,1568.98,2204.56,0.608,0.392,11.35,-1.86
6.46,-1.894,13.688,1.892,25.0,0.03,1694.95,2146.67,0.576,0.424,11.31,-1.86
6.531,-2.05,13.73,1.891,25.0,0.03,1697.2,2145.62,0.576,0.424,11.27,-1.86
6.603,-1.631,13.454,1.889,25.0,0.03,1577.15,2200.86,0.606,0.394,11.55,-1.86
6.674,-1.082,12.93,1.889,25.0,0.03,1475.83,2246.41,0.631,0.369,12.07,-1.86
6.746,-0.082,13.544,1.887,25.0,0.03,1833.53,2052.41,0.527,0.473,11.46,-1.85
6.817,-0.823,13.685,1.886,25.0,0.03,1730.09,2130.24,0.567,0.433,11.32,-1.85
6.889,-1.028,13.349,1.885,25.0,0.03,1554.41,2211.16,0.611,0.389,11.65,-1.85
6.961,-0.471,13.958,1.884,25.0,0.03,1901.21,2048.35,0.525,0.475,11.04,-1.85
7.033,-0.817,13.899,1.884,25.0,0.03,1666.56,2159.86,0.583,0.417,11.1,-1.85
7.106,-0.537,13.393,1.883,25.0,0.03,1496.62,2237.14,0.626,0.374,11.61,-1.85
7.178,-0.463,14.018,2.453,25.0,0.04,1859.03,2045.58,0.523,0.477,10.98,-2.41
7.252,-1.122,14.475,2.669,25.0,0.05,1859.1,2068.8,0.535,0.465,10.53,-2.62
7.324,-2.175,13.775,2.75,25.0,0.05,1495.76,2261.74,0.64,0.36,11.23,-2.7
7.397,-2.136,13.127,2.779,25.0,0.05,1440.95,2261.88,0.64,0.36,11.87,-2.73
7.47,-2.019,13.129,2.789,25.0,0.05,1666.38,2159.93,0.583,0.417,11.87,-2.74
7.543,-3.098,13.001,2.791,25.0,0.05,1617.76,2182.33,0.595,0.405,12.0,-2.74
7.616,-2.538,12.604,2.79,25.0,0.05,1514.48,2229.14,0.621,0.379,12.4,-2.74
7.689,-1.764,12.875,2.789,25.0,0.05,1751.02,2120.4,0.562,0.438,12.13,-2.74
7.763,-2.591,12.764,2.787,25.0,0.05,1617.48,2182.46,0.596,0.404,12.24,-2.74
7.839,-2.724,12.955,2.784,25.0,0.05,1724.17,2133.02,0.569,0.431,12.04,-2.74
7.915,-2.727,13.687,2.783,25.0,0.05,1920.73,2038.8,0.52,0.48,11.31,-2.73
7.991,-1.403,13.626,2.78,25.0,0.05,1659.36,2163.18,0.585,0.415,11.37,-2.73
8.07,-1.938,14.478,2.78,25.0,0.05,1975.05,2011.98,0.506,0.494,10.52,-2.73
8.148,-2.467,14.098,2.778,25.0,0.05,1584.37,2204.02,0.607,0.393,10.9,-2.73
8.226,-2.159,13.895,2.778,25.0,0.05,1621.29,2180.71,0.595,0.405,11.11,-2.73
8.304,-0.951,14.211,2.776,25.0,0.05,1797.68,2098.28,0.551,0.449,10.79,-2.73
8.382,-0.989,14.845,2.774,25.0,0.05,1918.08,2040.1,0.52,0.48,10.15,-2.73
8.461,-0.678,15.261,2.772,25.0,0.05,1857.32,2069.66,0.536,0.464,9.74,-2.72
8.54,-1.035,14.805,2.771,25.0,0.05,1567.05,2205.44,0.608,0.392,10.2,-2.72
